"Section","Field","Example","Required","Your value"
"Agency details","Agency name","Acme Property Management","Yes",""
"Agency details","Suburb / region","Maroochydore","Optional",""
"Agency details","Business hours","Mon-Fri 9am-5pm AEST","Optional",""
"Agency details","After-hours emergency line","+61 7 5555 0000","Optional",""
"Agency details","Principal's email","principal@acme.com.au","Optional",""
"Mailbox & compliance","Mailbox to monitor (dedicated agency inbox)","rentals@acme.com.au","Yes",""
"Mailbox & compliance","Nominated repairer (name + phone)","Coast Plumbing / +61 7 5443 0000","Yes",""
"Mailbox & compliance","Approved tradies (name + business-hours + after-hours phone, per trade)","Coast Plumbing; Sparkwise Electrical","Optional",""
"Mailbox & compliance","Spending thresholds (auto-approve limit / written-quote limit)","$250 / $500","Optional",""
"Mailbox & compliance","Voice samples (2-3 real example replies in their tone)","their past emails","Recommended",""
"Mailbox & compliance","House rules / quirks","Pet requests reviewed in 7 days","Optional",""
"People & rent roll","Property managers (full name + email, one per login)","Jess Bowman / jess@acme.com.au","Yes",""
"People & rent roll","Owners (name / email / phone)","Jordan Reeves / jordan@acme.com.au","Yes",""
"People & rent roll","Properties (address + owner)","35 Pakenham St (owner: Jordan Reeves)","Yes",""
"People & rent roll","Tenancies (rent / frequency / start date)","$600/wk periodic from 2025-06-01","Yes",""
"People & rent roll","Tenants (name + EMAIL + phone -- email is the match key)","Ryan May / ryan@email.com","Yes",""
