"tier","agency","suburb","contact_name","contact_role","phone","email","email_verified","website","angle_short","status","touch1_date","touch1_type","touch2_date","touch2_type","touch3_date","touch3_type","outcome","next_action"
"A","Palm Property Management","Mooloolaba","Susan Henley","Owner / Principal Licensee","07 5373 6539 / 0433 313 565","susan@palmpm.com.au","yes","https://www.palmpropertymanagement.com.au/","PM-ONLY boutique Noosa to Glass House Mtns; owner's direct email; 8.15% flat fee; acquiring doors (6-months-free promo)","first batch — log your email if sent","","","","","","","",""
"A","Code Property Group","Minyama","Candice Whinnett","Director","07 5438 3444","office@codepg.com.au","yes","https://www.codepg.com.au/","700+ doors; arrears <2%; PropertyMe + 24hr online inspection booking — tech-forward independent","","","","","","","","",""
"A","Luxe Property Management","Peregian Beach","Carolyn Jansen","Principal & Founder","0408 293 966","enquiries@luxepropertymanagement.com.au","yes","https://luxepropertymanagement.com.au/","Founder-led boutique Noosa-Caloundra; permanent + short-stay; 2024 National PM Awards finalist; markets on software + communication","","","","","","","","",""
"A","Define Property Agents","Mooloolaba","Alice Griffiths","PM Team Leader","07 5478 2477","info@defineproperty.com.au","yes","https://www.defineproperty.com.au/","Boutique independent with structured PM dept (team leader + 2 senior PMs); claims lowest vacancy rates on the Coast","","","","","","","","",""
"A","Next Property Group","Maroochydore","Talitha Nicolson","Senior Property Manager","1300 400 777","pm@nextpropertygroup.com.au","yes","https://nextpropertygroup.com.au/","25+ yrs local independent; direct PM inbox published; directors' named emails also on site","","","","","","","","",""
"A","Rosel Living (ex Sunshine Coast Property Rentals)","Maroochydore","Brodie Rosel","Managing Director","07 5493 7069","info@roselliving.com.au","yes","https://roselliving.com.au/","Boutique 4-person team mid-REBRAND (was Sunshine Coast Property Rentals) — transition moment is a good time to pitch new tooling","","","","","","","","",""
"A","Amber Werchon Property","Mooloolaba","Amber Werchon","Director / Principal","07 5430 0888","info@amberwerchon.com.au","yes","https://www.amberwerchon.com.au/","Largest independent on the Coast; expanding rent roll NOW (3-months-free promo + new Nambour office)","","","","","","","","",""
"A","Asset Agents","Maroochydore","Byron Miller","Principal / MD","0435 493 662","","no email — PHONE FIRST","https://www.assetagents.com.au/","Family PM specialist Caloundra-Peregian Springs; 6-month money-back guarantee; pays landlords weekly","","","","","","","","",""
"B","Ray White Mooloolaba","Mooloolaba","Kate Stewart","Head of Property Management","07 5444 3455 / 0430 413 877","kate.stewart@raywhite.com","yes","https://raywhitemooloolaba.com.au","RARE: PM decision-maker's direct email + mobile published; PM spans Mooloolaba + Kawana","","","","","","","","",""
"B","McGrath Coast & Hinterland","Caloundra","Sharee Little (ops) / Jodie & David Hedley-Ward (principals)","Senior PM & Ops Manager / Principals","07 5438 8548","fomcaloundra@mcgrath.com.au","yes","https://mcgrathch.com.au/","800+ doors, 8+ PM team, 2 offices; Rental Agency of the Year 2026; 24hr call-back promise = email pain","","","","","","","","",""
"B","Ray White Maroochydore","Maroochydore","Dan Sowden","Principal / Owner-Director","07 5443 2000","maroochydore.qld@raywhite.com","yes","https://raywhitemaroochydore.com.au","~700-1000 doors ($350-490m book); biggest RW office on the Coast; same owner as RW Buderim — one relationship, two offices","","","","","","","","",""
"B","Ray White Caloundra","Caloundra","Andrew Garland & Natascha Drexel-Munro","Co-Principals","07 5438 2431 (rentals direct)","caloundra.rentals@raywhite.com","yes","https://raywhitecaloundra.com.au","Dedicated rentals division w/ own line + email; PM awards 2023-25; ask for BDM Elliot Heslop","","","","","","","","",""
"B","Ray White Buderim","Buderim","Jake Loiero","Director","07 5445 6088","buderim.qld@raywhite.com","yes","https://raywhitebuderim.com.au","Sold Mar 2024 to Sowden+Loiero — new owners modernising; work as one account with RW Maroochydore","","","","","","","","",""
"B","Harcourts Property Centre Caloundra","Caloundra","Janelle Bagley","GM of Property Management","07 5438 1177","caloundra.hpc@harcourts.com.au","yes","https://www.propertycentre.au/office/caloundra/","Genuine Harcourts PM office in Caloundra (multi-office SEQ group); named GM of PM to ask for","","","","","","","","",""
"B","Image Property — Sunshine Coast","Mooloolaba","Steve Nottle","Director — Sunshine Coast","07 3185 5706","info@imageproperty.com.au","yes","https://imageproperty.com.au/sunshine-coast/","PM-led brand, 550+ five-star PM reviews; 4+ PMs + dedicated maintenance manager; director's direct email on his profile page","","","","","","","","",""
"B","Century 21 Grant Smith Property","Buderim","Cathy Simpson","Senior Property Manager","07 5445 8505","rentals@gsproperty.com.au","yes","https://buderim.century21.com.au/","Sales-led shop with lean 2-PM rent roll — drafting automation directly relieves the Senior PM","","","","","","","","",""
"B","First National Coastal","Mooloolaba","Paul Angell","Principal","07 5444 0800","enquiries@fncoastal.com.au","yes","https://www.firstnationalcoastal.com.au/","Long-established; ~5-person PM dept w/ separate PM premises; husband-and-wife principals","","","","","","","","",""
"B","Coronis Sunshine Coast","Minyama","Debi Thorn","Agency Director","07 5491 1400","minyama@coronis.com.au","yes","https://www.coronis.com.au/agency/coronis-sunshine-coast/","Expanding on the Coast (3rd office, hiring PMs); runs PropertyMe — 'sits alongside it' pitch; director's direct contacts on her profile","","","","","","","","",""
"B","Belle Property Noosa, Coolum & Marcoola","Noosaville","Ben Radcliff","Principal / Director","07 5415 0700","","no email — PHONE FIRST","https://www.belleproperty.com/noosa","3 offices, 12+ PM team, ~267 listings + holiday-letting arm = heavy email volume; premium positioning","","","","","","","","",""
"B","RE/MAX Property Sales","Birtinya","Natalie De Chellis","Head of PM & BDM","07 5470 7000","","no email — PHONE FIRST","https://www.remaxpropertysales.com.au/","Birtinya HQ + Caloundra; structured PM dept (head + 2 senior PMs); ask for Natalie","","","","","","","","",""
"B","LJ Hooker Caloundra | Aura","Baringa","Jamie, Jo & Paul O'Brien","Principals","07 5318 7277","aura@ljhooker.com.au","yes (verified earlier)","https://caloundraaura.ljhooker.com.au/","Residential PM office for the Aura growth corridor — new-build rentals stack up fast","first batch — log your email if sent","","","","","","","",""
"A","BMP Sunshine Coast Property Management","Sunshine Coast","—","(ask for the principal)","07 5309 6437","info@realestatesunshinecoast.net","yes (verified earlier)","https://www.realestatesunshinecoast.net/","PM-specialist since 2003 across Buderim/Maroochydore/Mooloolaba/Noosa/Caloundra","first batch — log your email if sent","","","","","","","",""
